"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"07/24/2015","44","Ozone","Aurora East","08-005-0006","AQS","143","28","98.2","07/24/2011","07/24/2004"
"07/25/2015","61","Ozone","NATIONAL RENEWABLE ENERGY LABS - NREL","08-059-0011","AQS","164","58","89.2","07/25/2007","07/25/2017"
"07/26/2015","51","Ozone","Aurora East","08-005-0006","AQS","179","31","82","07/26/2003","07/26/2005"
"07/27/2015","71","Ozone","ROCKY FLATS-N","08-059-0006","AQS","156","58","104.2","07/27/2016","07/27/2004"
"07/28/2015","61","Ozone","Chatfield State Park","08-035-0004","AQS","159","54","81.4","07/28/2000","07/28/2019"
"07/29/2015","100","Ozone","ROCKY FLATS-N","08-059-0006","AQS","177","45","88.2","07/29/2006","07/29/2009"
"07/30/2015","126","Ozone","Chatfield State Park","08-035-0004","AQS","190","43","105.4","07/30/2007","07/30/2009"
"07/31/2015","93","Ozone","ROCKY FLATS-N","08-059-0006","AQS","179","50","104","07/31/2007","07/31/2009"
"08/01/2015","140","Ozone","Goliath Peak","08-019-0004","AQS","150","41","110","08/01/2007","08/01/2002"
"08/02/2015","87","Ozone","ROCKY FLATS-N","08-059-0006","AQS","174","50","107.6","08/02/2003","08/02/2001"
"08/03/2015","49","Ozone","Mines Peak","08-019-0006","AQS","140","49","87","08/03/2001","08/03/2015"
"08/04/2015","61","Ozone","Aurora East","08-005-0006","AQS","161","36","74.8","08/04/2001","08/04/2005"
"08/05/2015","67","Ozone","ROCKY FLATS-N","08-059-0006","AQS","150","46","79.2","08/05/2009","08/05/2006"
"08/06/2015","50","Ozone","Aurora East","08-005-0006","AQS","126","47","78","08/06/2003","08/06/2009"
"08/07/2015","122","Ozone","Chatfield State Park","08-035-0004","AQS","154","43","106.4","08/07/2019","08/07/2017"
